"","RefNo","Author","Year","Title","Source","CrossRef1","CrossRef2","CrossRef3","CrossRef4","CrossRef5"
"1",58488,"Khalaf, M. and U. Zajonz",2007,"Fourteen additional species recorded from below 150 m depth in the Gulf of Aqaba, including Liopropoma lunulatum (Pisces: Serranidae), new record for the Red Sea.","Fauna of Arabia 23:421-433.",NA,NA,NA,NA,NA
"2",58047,"Feitoza, B.M., L.A. Rocha, O.J. Luiz-J<fa>nior, S.R. Floeter and J.L. Gasparini",2003,"Reef fishes of St. Paul's Rocks: new records and notes on biology and zoogeography.","Aqua J. Ichthyol. Aquat. Biol. 7(2):61-82.",NA,NA,NA,NA,NA
"3",9696,"Vostradovsky, J.",1973,"Freshwater fishes.","The Hamlyn Publishing Group Limited, London. 252 p.",NA,NA,NA,NA,NA
"4",9710,"Lieske, E. and R. Myers",1994,"Collins Pocket Guide. Coral reef fishes. Indo-Pacific & Caribbean including the Red Sea.","Haper Collins Publishers, 400 p.",NA,NA,NA,NA,NA
"5",11482,"Allen, G.R. and D.R. Robertson",1994,"Fishes of the tropical eastern Pacific.","University of Hawaii Press, Honolulu. 332 p.",86387,NA,NA,NA,NA
"6",7247,"Allen, G.R.",1991,"Damselfishes of the world.","Mergus Publishers, Melle, Germany. 271 p.",5911,237,4966,NA,NA
"7",4391,"Allen, G.R.",1986,"Pomacentridae.","p. 670-682. In M.M. Smith and P.C. Heemstra (eds.) Smiths' sea fishes. Springer-Verlag, Berlin.",NA,NA,NA,NA,NA
"8",5592,"Thomson, D.A.",1987,"Reef fishes of the Sea of Cortez. The rocky-shore fishes of the Gulf of California.","The University of Arizona Press, Tucson. 302 p.",NA,NA,NA,NA,NA
"9",9563,"May, J.L. and J.G.H. Maxwell",1986,"Trawl fish from temperate waters of Australia.","CSIRO Division of Fisheries Research, Tasmania. 492 p.",6390,44106,NA,NA,NA
"10",5227,"Humann, P. and N. Deloach",1993,"Reef fish identification. Gal<e1>pagos.","New World Publications, Inc., Florida. 267 p.",NA,NA,NA,NA,NA
