order_name,family_name,genus_name,species_name,median_lat,body_shape,longevity,max_length,min_depth,weight,salinity,age_at_maturity,streams,lakes,feeding_type,neritic,oceanic,mangroves,diet_troph,schooling,benthic,coral_reefs,estuaries,lat_range,temp_min,mouth_type,repro_mode,fertilization,rep_guild_1,rep_guild_2,parental_care
Tetraodontiformes,Balistidae,Abalistes,Abalistes stellatus,20.89,short and / or deep,NA,60,7,NA,saltwater,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,NA,NA,dioecism,external,NA,NA,NA
Cypriniformes,Cyprinidae,Abbottina,Abbottina rivularis,NA,fusiform / normal,NA,18.9,NA,NA,freshwater,1,1,1,NA,0,0,0,NA,0,0,0,0,NA,NA,NA,dioecism,external,guarders,nesters,paternal
Scorpaeniformes,Scorpaenidae,Ablabys,Ablabys binotatus,30.431,fusiform / normal,NA,15,NA,NA,saltwater,NA,0,0,NA,0,0,0,NA,0,0,1,0,61,NA,NA,NA,NA,NA,NA,NA
Beloniformes,Belonidae,Ablennes,Ablennes hians,30.315,elongated,NA,140,0,4800,NA,NA,0,0,hunting macrofauna (predator),1,1,0,NA,1,0,0,1,75,NA,NA,dioecism,external,nonguarders,open water/substratum egg scatterers,none
Cypriniformes,Cyprinidae,Abramis,Abramis brama,49.803,fusiform / normal,23,82,1,6010,NA,5.25,1,1,hunting macrofauna (predator),0,1,0,3.05,1,0,0,1,35,10,NA,dioecism,external,nonguarders,open water/substratum egg scatterers,none
Ovalentaria,Pomacentridae,Abudefduf,Abudefduf abdominalis,21.444,short and / or deep,NA,30,1,NA,saltwater,NA,0,0,variable,1,1,0,NA,1,0,1,0,11,NA,terminal,dioecism,external,guarders,nesters,paternal
Ovalentaria,Pomacentridae,Abudefduf,Abudefduf declivifrons,23.45,short and / or deep,NA,NA,1,NA,saltwater,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,dioecism,external,guarders,nesters,paternal
Ovalentaria,Pomacentridae,Abudefduf,Abudefduf margariteus,21.6745,short and / or deep,NA,NA,2,NA,saltwater,NA,0,0,selective plankton feeding,0,0,0,NA,0,0,1,0,2,NA,terminal,dioecism,external,guarders,nesters,paternal
Ovalentaria,Pomacentridae,Abudefduf,Abudefduf natalensis,29.867,short and / or deep,NA,17,1,NA,saltwater,NA,0,0,selective plankton feeding,0,1,0,NA,0,0,0,0,6,NA,terminal,dioecism,external,guarders,nesters,paternal
Ovalentaria,Pomacentridae,Abudefduf,Abudefduf notatus,22.843,short and / or deep,NA,17,1,NA,saltwater,NA,0,0,grazing on aquatic plants,0,0,0,NA,0,0,1,0,72,NA,terminal,dioecism,external,guarders,nesters,paternal
Ovalentaria,Pomacentridae,Abudefduf,Abudefduf saxatilis,18.284,short and / or deep,NA,22.9,0,200,saltwater,NA,0,0,variable,0,1,0,3.82,0,0,1,0,78,NA,NA,dioecism,external,guarders,nesters,paternal
Ovalentaria,Pomacentridae,Abudefduf,Abudefduf septemfasciatus,20.8915,short and / or deep,NA,23,0,NA,saltwater,NA,0,0,hunting macrofauna (predator),0,1,0,NA,0,0,1,0,60,NA,terminal,dioecism,external,guarders,nesters,paternal
Ovalentaria,Pomacentridae,Abudefduf,Abudefduf sordidus,21.4372,short and / or deep,NA,24,0,NA,NA,NA,0,0,variable,1,1,0,2.88,0,0,1,0,64,NA,terminal,dioecism,external,guarders,nesters,paternal
Ovalentaria,Pomacentridae,Abudefduf,Abudefduf sparoides,21.1855,short and / or deep,NA,16,0,NA,saltwater,NA,0,0,variable,0,0,0,NA,0,0,1,0,32,NA,terminal,dioecism,external,guarders,nesters,paternal
Ovalentaria,Pomacentridae,Abudefduf,Abudefduf troschelii,10.8641,short and / or deep,NA,20,1,NA,saltwater,NA,0,0,variable,1,1,0,NA,0,0,1,0,50,NA,terminal,dioecism,external,guarders,nesters,paternal
Ovalentaria,Pomacentridae,Abudefduf,Abudefduf whitleyi,22.5733,short and / or deep,NA,NA,1,NA,saltwater,NA,0,0,selective plankton feeding,0,1,0,NA,0,0,1,0,23,NA,terminal,dioecism,external,guarders,nesters,paternal
Tetraodontiformes,Monacanthidae,Acanthaluteres,Acanthaluteres spilomelanurus,38.58085,short and / or deep,NA,14,NA,NA,NA,NA,0,0,NA,0,1,0,NA,0,0,0,1,20,NA,NA,NA,NA,NA,NA,NA
Tetraodontiformes,Monacanthidae,Acanthaluteres,Acanthaluteres vittiger,33.63715,short and / or deep,NA,35,1,NA,saltwater,NA,0,0,grazing on aquatic plants,0,1,0,NA,0,0,1,0,14,NA,NA,NA,NA,NA,NA,NA
Perciformes,Centrarchidae,Acantharchus,Acantharchus pomotis,34.2266,fusiform / normal,NA,21,NA,NA,freshwater,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,10,NA,NA,NA,NA,NA,NA
Blenniiformes,Chaenopsidae,Acanthemblemaria,Acanthemblemaria aspera,16.79,elongated,NA,4,NA,NA,saltwater,NA,0,0,hunting macrofauna (predator),0,0,0,NA,0,0,0,0,10,NA,NA,dioecism,external,nonguarders,brood hiders,NA
Blenniiformes,Chaenopsidae,Acanthemblemaria,Acanthemblemaria balanorum,NA,elongated,NA,5.19,1,NA,saltwater,NA,0,0,selective plankton feeding,0,1,0,NA,0,0,0,0,10,NA,NA,dioecism,external,nonguarders,brood hiders,NA
Blenniiformes,Chaenopsidae,Acanthemblemaria,Acanthemblemaria betinensis,9.6,elongated,NA,NA,NA,NA,saltwater,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dioecism,external,nonguarders,brood hiders,NA
Blenniiformes,Chaenopsidae,Acanthemblemaria,Acanthemblemaria castroi,1,elongated,NA,6,1,NA,saltwater,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dioecism,external,nonguarders,brood hiders,NA
Blenniiformes,Chaenopsidae,Acanthemblemaria,Acanthemblemaria crockeri,26.55,elongated,NA,6,1,NA,saltwater,NA,0,0,selective plankton feeding,0,1,0,NA,0,0,0,0,16,NA,NA,NA,NA,NA,NA,NA
Blenniiformes,Chaenopsidae,Acanthemblemaria,Acanthemblemaria exilispinus,NA,elongated,NA,5.5,1,NA,saltwater,NA,0,0,hunting macrofauna (predator),0,0,0,NA,0,0,0,0,7,NA,NA,NA,NA,NA,NA,NA
Blenniiformes,Chaenopsidae,Acanthemblemaria,Acanthemblemaria greenfieldi,16.802,elongated,NA,NA,NA,NA,saltwater,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
Blenniiformes,Chaenopsidae,Acanthemblemaria,Acanthemblemaria maria,18.4,elongated,NA,5.1,NA,NA,saltwater,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA
Blenniiformes,Chaenopsidae,Acanthemblemaria,Acanthemblemaria paula,16.79,elongated,NA,NA,1,NA,saltwater,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
Blenniiformes,Chaenopsidae,Acanthemblemaria,Acanthemblemaria rivasi,9.6,elongated,NA,NA,NA,NA,saltwater,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA
